race,gest,year,births
NHW,29,2006,5011
NHW,30,2006,6968
NHW,31,2006,9336
NHW,32,2006,12917
NHW,33,2006,19625
NHW,34,2006,34457
NHW,35,2006,58103
NHW,36,2006,106052
NHW,37,2006,213036
NHW,38,2006,452484
NHW,39,2006,598356
NHW,40,2006,441456
NHW,41,2006,196873
NHW,42,2006,64210
NHW,43,2006,32780
NHW,44,2006,16666
NHW,45,2006,8571
NHW,46,2006,4649
NHW,47,2006,2798
NHW,99,2006,7502
