race,gest,year,sex,births
NHB,29,2008,M,1379
NHB,30,2008,M,1776
NHB,31,2008,M,2283
NHB,32,2008,M,3076
NHB,33,2008,M,4611
NHB,34,2008,M,7318
NHB,35,2008,M,10843
NHB,36,2008,M,18020
NHB,37,2008,M,33592
NHB,38,2008,M,59802
NHB,39,2008,M,75924
NHB,40,2008,M,52249
NHB,41,2008,M,22018
NHB,42,2008,M,7641
NHB,43,2008,M,4270
NHB,44,2008,M,2246
NHB,45,2008,M,1089
NHB,46,2008,M,576
NHB,47,2008,M,343
NHB,99,2008,M,507
NHW,17,2008,M,71
NHW,18,2008,M,86
NHW,19,2008,M,179
NHW,20,2008,M,252
NHW,21,2008,M,368
NHW,22,2008,M,464
NHW,23,2008,M,598
NHW,24,2008,M,917
NHW,25,2008,M,924
NHW,26,2008,M,1222
NHW,27,2008,M,1486
NHW,28,2008,M,2022
NHW,29,2008,M,2544
NHW,30,2008,M,3604
NHW,31,2008,M,4537
NHW,32,2008,M,6757
NHW,33,2008,M,10077
NHW,34,2008,M,17247
NHW,35,2008,M,28877
NHW,36,2008,M,52690
NHW,37,2008,M,105667
NHW,38,2008,M,219293
NHW,39,2008,M,316699
NHW,40,2008,M,221956
NHW,41,2008,M,98817
NHW,42,2008,M,31591
NHW,43,2008,M,15918
NHW,44,2008,M,8536
NHW,45,2008,M,4286
NHW,46,2008,M,2305
NHW,47,2008,M,1411
NHW,99,2008,M,1221
NHB,17,2009,F,55
NHB,18,2009,F,77
NHB,19,2009,F,114
NHB,20,2009,F,249
NHB,21,2009,F,285
NHB,22,2009,F,400
NHB,23,2009,F,508
NHB,24,2009,F,707
NHB,25,2009,F,794
NHB,26,2009,F,876
NHB,27,2009,F,988
NHB,28,2009,F,1139
NHB,29,2009,F,1385
NHB,30,2009,F,1681
NHB,31,2009,F,2149
NHB,32,2009,F,2965
NHB,33,2009,F,3986
NHB,34,2009,F,6691
NHB,35,2009,F,10003
NHB,36,2009,F,16660
NHB,37,2009,F,30931
NHB,38,2009,F,55191
NHB,39,2009,F,75160
NHB,40,2009,F,50298
NHB,41,2009,F,20689
NHB,42,2009,F,7126
NHB,43,2009,F,4104
NHB,44,2009,F,2225
NHB,45,2009,F,1046
NHB,46,2009,F,582
NHB,47,2009,F,362
NHB,99,2009,F,407
NHW,17,2009,F,30
NHW,18,2009,F,70
NHW,19,2009,F,119
NHW,20,2009,F,204
NHW,21,2009,F,278
NHW,22,2009,F,378
NHW,23,2009,F,480
NHW,24,2009,F,715
NHW,25,2009,F,906
NHW,26,2009,F,1063
NHW,27,2009,F,1209
NHW,28,2009,F,1723
NHW,29,2009,F,2175
NHW,30,2009,F,2969
NHW,31,2009,F,3859
NHW,32,2009,F,5535
NHW,33,2009,F,8278
NHW,34,2009,F,14567
NHW,35,2009,F,23919
NHW,36,2009,F,44298
NHW,37,2009,F,89395
NHW,38,2009,F,190719
NHW,39,2009,F,306888
NHW,40,2009,F,217329
NHW,41,2009,F,96872
