year,gest,race,births
2010,30,NHW,6252
2010,31,NHW,8072
2010,32,NHW,11860
2010,33,NHW,17260
2010,34,NHW,30258
2010,35,NHW,48808
2010,36,NHW,90354
2010,37,NHW,182874
2010,38,NHW,373956
2010,39,NHW,631240
2010,40,NHW,428190
2010,41,NHW,189446
2010,42,NHW,60790
2010,43,NHW,30019
2010,44,NHW,15918
2010,45,NHW,8380
2010,46,NHW,4359
2010,47,NHW,2654
2010,99,NHW,1892
2011,17,NHB,134
2011,18,NHB,191
2011,19,NHB,326
2011,20,NHB,467
2011,21,NHB,625
2011,22,NHB,802
2011,23,NHB,917
2011,24,NHB,1318
2011,25,NHB,1521
2011,26,NHB,1710
2011,27,NHB,1868
2011,28,NHB,2165
2011,29,NHB,2494
2011,30,NHB,3229
2011,31,NHB,4078
2011,32,NHB,5303
2011,33,NHB,7942
2011,34,NHB,12722
2011,35,NHB,18672
2011,36,NHB,31059
2011,37,NHB,59415
2011,38,NHB,103563
2011,39,NHB,154675
2011,40,NHB,97071
2011,41,NHB,39578
2011,42,NHB,13604
2011,43,NHB,7812
2011,44,NHB,4258
2011,45,NHB,2170
2011,46,NHB,1119
2011,47,NHB,709
2011,99,NHB,828
2011,17,NHW,99
2011,18,NHW,179
2011,19,NHW,252
2011,20,NHW,422
2011,21,NHW,603
2011,22,NHW,779
2011,23,NHW,1047
2011,24,NHW,1467
2011,25,NHW,1727
2011,26,NHW,2084
2011,27,NHW,2566
2011,28,NHW,3491
2011,29,NHW,4385
2011,30,NHW,6066
2011,31,NHW,7942
2011,32,NHW,11673
2011,33,NHW,16972
2011,34,NHW,29674
2011,35,NHW,47611
2011,36,NHW,86111
2011,37,NHW,175220
2011,38,NHW,353199
2011,39,NHW,644131
2011,40,NHW,431701
2011,41,NHW,191934
2011,42,NHW,60915
2011,43,NHW,30612
2011,44,NHW,15910
2011,45,NHW,8060
2011,46,NHW,4563
2011,47,NHW,2791
2011,99,NHW,2380
2012,17,NHB,141
2012,18,NHB,192
2012,19,NHB,304
2012,20,NHB,467
2012,21,NHB,625
2012,22,NHB,738
2012,23,NHB,1027
2012,24,NHB,1320
2012,25,NHB,1521
2012,26,NHB,1675
2012,27,NHB,1773
2012,28,NHB,2220
2012,29,NHB,2415
2012,30,NHB,3247
2012,31,NHB,3954
2012,32,NHB,5449
2012,33,NHB,7536
2012,34,NHB,12424
2012,35,NHB,18484
2012,36,NHB,30763
2012,37,NHB,58739
2012,38,NHB,100236
2012,39,NHB,158495
2012,40,NHB,98039
2012,41,NHB,40776
